area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
6000,3,2,4,1,0,0,0,1,1,0,1
7200,3,2,1,1,0,1,0,1,3,0,2
3816,2,1,1,1,0,1,0,1,2,0,1
2610,3,1,2,1,0,1,0,0,0,1,0
3750,3,1,2,1,0,0,0,0,0,0,0
5010,3,1,2,1,0,1,0,0,0,0,2
3850,3,1,2,1,0,0,0,0,0,0,0
5076,3,1,1,0,0,0,0,0,0,0,0
3180,3,1,1,0,0,0,0,0,0,0,0
6020,3,1,1,1,0,0,0,0,0,0,2
3120,3,1,2,0,0,1,1,0,0,0,2
7700,2,1,1,1,0,0,0,0,0,0,0
7000,3,1,1,1,0,0,0,0,3,0,1
3570,3,1,2,1,0,1,0,0,0,0,2
3000,2,1,2,1,0,0,0,1,0,0,1
6450,3,2,1,1,1,1,1,0,0,0,0
2400,3,1,1,0,0,0,0,0,0,0,2
5300,4,2,1,1,0,0,0,1,0,1,0
7424,3,1,1,0,0,0,0,0,0,0,0
12090,4,2,2,1,0,0,0,0,2,1,1
7260,3,2,1,1,1,1,0,0,3,0,1
3000,3,1,2,1,0,0,0,0,0,0,2
5200,3,1,3,1,0,0,0,1,0,0,2
8400,3,1,2,1,1,1,0,1,2,1,0
6525,3,2,4,1,0,0,0,0,1,0,1
3650,3,1,2,1,0,0,0,0,0,0,0
3635,2,1,1,0,0,0,0,0,0,0,0
4000,3,1,1,1,0,0,0,0,0,0,2
4600,2,2,1,1,0,0,0,1,2,0,2
5640,2,1,1,0,0,0,0,0,0,0,2
3520,3,1,2,1,0,0,0,0,0,1,2
1836,2,1,1,0,0,1,0,0,0,0,2
3150,3,1,2,1,0,1,0,0,0,0,1
5680,3,1,2,1,1,0,0,1,1,0,2
2145,3,1,3,1,0,0,0,0,1,1,0
8100,2,1,1,1,0,0,0,0,1,0,0
3930,2,1,1,0,0,0,0,0,0,0,0
6420,3,2,2,1,0,0,0,1,1,1,2
4130,3,2,2,1,0,0,0,0,2,0,2
11440,4,1,2,1,0,1,0,0,1,1,2
9667,4,2,2,1,1,1,0,0,1,0,2
10360,2,1,1,1,0,0,0,0,1,1,2
5960,3,1,2,1,1,1,0,0,0,0,0
2880,3,1,2,1,0,0,0,0,0,1,2
6360,2,1,2,1,0,0,0,0,0,0,0
3480,3,1,2,0,0,0,0,0,1,0,2
8100,4,1,4,1,0,1,0,1,2,0,2
6540,4,2,2,1,1,1,0,1,2,1,1
2787,3,1,1,1,0,1,0,0,0,1,1
6480,3,2,4,1,0,0,0,1,2,0,0
3600,6,1,2,1,0,0,0,0,1,0,0
3185,2,1,1,1,0,1,0,0,2,0,1
4410,4,3,2,1,0,1,0,0,2,0,2
9000,3,1,2,1,0,0,0,0,2,0,2
3650,3,2,2,1,0,0,0,0,2,0,2
7160,3,1,1,1,0,1,0,0,2,1,0
3584,2,1,1,1,0,0,1,0,0,0,2
4280,2,1,1,1,0,0,0,1,2,0,2
7000,3,1,4,1,0,0,0,1,2,0,2
9620,3,1,1,1,0,1,0,0,2,1,1
9166,2,1,1,1,0,1,0,1,2,0,2
2160,3,1,2,0,0,1,0,0,0,0,2
6050,3,1,1,1,0,1,0,0,0,1,2
9000,4,2,4,1,1,0,0,1,1,1,1
5320,3,1,2,1,1,1,0,0,0,1,2
8800,3,2,2,1,0,0,0,1,2,0,1
8500,3,2,4,1,0,0,0,1,2,0,1
5880,2,1,1,1,0,0,0,0,0,0,0
13200,2,1,1,1,0,1,1,0,1,0,1
4510,4,2,2,1,0,1,0,0,0,0,2
4075,3,1,1,1,1,1,0,0,2,0,2
3510,3,1,2,1,0,0,0,0,0,0,2
2856,3,1,3,1,0,0,0,0,0,1,1
6000,4,2,4,1,0,0,0,0,1,0,2
4500,4,2,1,0,0,1,0,1,2,0,2
6600,3,1,1,1,1,1,0,0,0,1,1
3510,3,1,3,1,0,0,0,0,0,0,2
4560,3,2,2,1,1,1,0,1,1,0,1
3480,2,1,1,1,0,0,0,0,1,0,2
2398,3,1,1,1,0,0,0,0,0,1,2
3500,2,1,1,1,1,0,0,0,0,0,0
7500,3,3,1,1,0,1,0,1,2,1,2
6900,3,2,1,1,1,1,0,0,0,1,0
6000,3,2,3,1,0,0,0,1,0,0,2
6060,2,1,1,1,0,1,0,0,1,0,2
3600,3,1,1,1,0,1,0,1,0,1,1
6600,4,2,2,1,1,1,0,1,1,1,0
4300,3,2,2,1,0,1,0,0,1,0,0
4770,3,1,1,1,1,1,0,0,0,0,2
4040,2,1,1,1,0,0,0,0,0,0,0
7500,4,2,2,1,0,1,0,1,3,1,1
4950,4,1,2,1,0,0,0,1,0,0,2
5300,5,2,2,1,0,0,0,0,0,0,2
6000,3,2,2,1,1,0,0,0,1,0,2
7686,3,1,1,1,1,1,1,0,0,0,2
3264,2,1,1,1,0,0,0,0,0,0,0
6600,3,1,1,1,1,1,0,0,2,1,2
4050,2,1,1,1,0,0,0,0,0,0,1
3640,3,2,2,1,0,1,0,0,0,0,0
5500,4,2,2,1,0,1,0,1,1,1,2
3880,3,2,2,1,0,1,0,0,2,0,2
12900,3,1,1,1,0,0,0,0,2,0,1
6000,3,2,4,1,1,1,0,1,0,1,2
16200,5,3,2,1,0,0,0,0,0,0,0
7200,3,1,2,1,1,1,0,0,1,1,1
7440,3,2,4,1,0,0,0,0,1,1,0
3240,4,1,3,1,0,0,0,0,1,0,2
9000,4,2,4,1,0,0,0,1,2,0,1
2817,4,2,2,0,1,1,0,0,1,0,1
4840,2,1,2,1,0,0,0,0,0,0,0
6420,3,1,1,1,0,1,0,1,0,1,1
2145,3,1,3,1,0,0,0,0,0,1,1
6800,2,1,1,1,1,1,0,0,2,0,1
3210,3,1,2,1,0,1,0,0,0,0,0
5400,4,1,2,1,0,0,0,0,0,0,2
9800,4,2,2,1,1,0,0,0,2,0,2
4500,2,1,1,1,0,0,0,0,0,0,2
4320,3,1,1,1,0,0,0,0,0,1,2
4700,4,1,2,1,1,1,0,1,1,0,1
8150,3,2,1,1,1,1,0,0,0,0,2
4120,2,1,2,1,0,0,0,0,0,0,0
3480,4,1,2,0,0,0,0,0,1,0,2
4100,2,2,1,1,1,1,0,0,0,0,2
5850,2,1,1,1,1,1,0,0,2,0,2
4785,3,1,2,1,1,1,0,1,1,0,1
4000,3,1,2,1,0,0,0,1,0,0,0
6660,4,2,2,1,1,1,0,0,1,1,2
3450,3,1,1,1,0,1,0,0,2,0,0
7700,3,2,1,1,0,0,0,0,2,0,0
4500,2,1,1,1,0,0,0,1,2,0,1
6000,2,1,1,1,0,1,0,1,1,0,1
4260,4,1,2,1,0,1,0,1,0,0,1
5720,2,1,2,1,0,0,0,1,0,1,0
3960,3,1,2,1,0,0,0,0,0,0,1
4040,2,1,1,1,0,0,0,0,1,0,0
4000,2,1,1,1,0,0,0,0,0,0,0
4800,2,1,1,1,1,1,0,0,0,0,2
4000,3,2,2,1,0,1,0,1,1,0,2
6615,4,2,2,1,1,0,1,0,1,0,2
5500,3,1,2,1,0,0,0,1,0,0,0
5000,3,1,4,1,0,0,0,0,0,0,1
4800,3,2,4,1,1,0,0,1,0,0,1
5400,5,1,2,1,1,1,0,1,0,1,1
4500,2,1,2,1,0,0,1,0,1,0,2
3500,2,1,1,0,0,1,0,0,0,0,2
8250,3,1,1,1,0,0,0,0,0,0,1
3400,3,1,2,1,0,1,0,0,2,1,2
3060,3,1,1,1,0,0,0,0,0,0,0
4032,2,1,1,1,0,1,0,0,0,0,1
6350,3,2,3,1,1,0,0,1,0,0,1
3460,3,2,1,1,0,1,0,1,1,0,1
4040,3,1,2,1,0,1,1,0,1,0,1
4820,3,1,2,1,0,0,0,0,0,0,2
2475,3,1,2,1,0,0,0,0,0,0,1
7020,3,1,1,1,0,1,0,1,2,1,2
4340,3,1,1,1,0,0,0,0,0,0,2
3780,2,1,2,1,1,1,0,0,0,0,2
12944,3,1,1,1,0,0,0,0,0,0,0
5200,4,1,3,1,0,0,0,0,0,0,0
2610,4,3,2,0,0,0,0,0,0,0,2
3600,3,1,2,0,0,0,0,0,1,0,0
3290,2,1,1,1,0,0,1,0,1,0,1
2145,3,1,2,1,0,1,0,0,0,1,1
5985,3,1,1,1,0,1,0,0,0,0,2
7482,3,2,3,1,0,0,1,0,1,1,1
6360,3,1,1,1,1,1,0,1,2,1,1
3520,2,1,2,1,0,0,0,0,0,1,1
3630,3,2,2,1,0,0,1,0,2,0,2
6000,3,2,4,1,1,0,0,1,1,0,1
8372,3,1,3,1,0,0,0,1,2,0,0
5800,3,1,1,1,0,0,1,0,2,0,2
2953,3,1,2,1,0,1,0,1,0,0,0
3750,2,1,1,1,1,1,0,0,0,0,2
3850,3,1,1,1,0,0,0,0,0,0,0
5136,3,1,2,1,1,1,0,1,0,1,0
4880,3,1,1,1,0,0,0,0,2,1,0
3792,4,1,2,1,0,0,0,0,0,0,2
6000,3,1,4,1,1,0,0,1,2,0,0
2520,5,2,1,0,0,1,0,1,1,0,1
5948,3,1,2,1,0,0,0,1,0,0,2
2145,3,1,3,1,0,0,0,0,0,1,1
10500,2,1,1,1,0,0,0,0,1,0,2
3986,2,2,1,0,1,1,0,0,1,0,0
5500,3,2,2,1,0,0,0,0,1,0,2
8250,3,1,1,1,0,0,0,0,2,0,1
5400,3,1,1,1,0,0,0,0,3,0,2
7320,4,2,2,1,0,0,0,0,0,0,1
2700,2,1,1,0,0,0,0,0,0,0,1
9000,3,1,1,1,0,1,0,0,1,1,1
4800,5,2,3,0,0,1,1,0,0,0,0
4000,3,1,2,1,0,0,0,0,1,0,1
3630,4,1,2,1,0,0,0,0,3,0,2
6400,3,1,1,1,1,1,0,1,1,1,2
1650,3,1,2,0,0,1,0,0,0,0,0
4410,2,1,1,0,0,0,0,0,1,0,0
7350,2,1,1,1,0,0,0,0,1,0,2
6254,4,2,1,1,0,1,0,0,1,1,2
7980,3,1,1,1,0,0,0,0,1,1,2
4120,2,1,1,1,0,1,0,0,1,0,2
3520,3,1,1,1,0,0,0,0,0,1,2
2176,2,1,2,1,1,0,0,0,0,1,2
8080,3,1,1,1,0,0,0,1,2,0,2
3512,2,1,1,1,0,0,0,0,1,1,0
4000,2,1,1,1,0,0,0,0,0,0,0
3450,3,1,2,1,0,1,0,0,0,0,2
4320,3,1,2,1,0,0,0,0,2,1,1
15600,3,1,1,1,0,0,0,1,2,0,2
7152,3,1,2,1,0,0,0,1,0,0,1
6321,3,1,2,1,0,1,0,1,1,0,1
3000,3,1,2,0,0,0,0,0,0,0,2
7000,3,1,2,1,0,1,0,0,0,0,0
11460,3,1,3,1,0,0,0,0,2,1,2
4960,2,1,1,1,0,0,0,0,0,0,0
3460,4,1,2,1,0,0,0,1,0,0,2
3000,2,1,1,0,0,0,0,0,0,0,0
3630,2,1,1,1,0,0,0,0,0,0,0
5400,4,1,2,1,0,0,0,0,0,0,0
4900,3,1,2,0,0,0,0,0,0,0,0
5500,4,1,2,1,1,1,0,0,0,0,2
4000,4,2,2,0,0,0,0,0,0,0,2
3640,2,1,1,1,0,0,0,0,0,0,1
4500,2,1,1,0,0,0,0,0,0,0,1
4500,2,1,1,0,0,0,0,0,0,0,2
4300,6,2,2,1,0,0,0,0,0,0,1
3180,3,2,2,1,0,0,0,0,2,0,2
3150,2,2,1,0,0,1,0,0,0,0,2
4500,4,2,2,1,0,1,0,0,2,0,1
3520,2,2,1,1,0,1,0,0,0,0,2
4040,2,1,2,1,0,0,0,0,1,0,2
4400,4,1,2,1,0,0,0,1,2,1,2
4095,2,1,1,1,0,0,0,0,2,0,2
4160,3,1,1,1,1,1,0,1,0,0,0
3600,2,1,1,1,0,0,0,0,0,0,0
5830,2,1,1,1,0,0,0,0,2,0,0
6710,3,2,2,1,1,1,0,0,1,1,1
4992,3,2,2,1,0,0,0,0,2,0,0
5400,4,2,2,1,0,0,0,1,2,0,0
2800,3,2,2,0,0,1,0,1,1,0,2
4040,3,1,2,1,0,0,0,0,1,0,2
3745,3,1,2,1,0,1,0,0,0,0,1
8000,3,1,1,1,1,1,0,1,2,1,2
6540,3,1,1,1,1,1,0,0,2,1,1
3640,2,1,1,1,0,0,0,0,1,0,2
10240,2,1,1,1,0,0,0,1,2,1,0
3000,3,1,1,0,0,0,0,1,0,0,0
4000,2,1,1,1,0,0,0,0,0,1,2
3350,3,1,2,1,0,0,0,0,0,0,0
6500,3,2,3,1,0,0,0,1,0,0,0
3360,2,1,1,1,0,0,0,0,1,0,0
6650,3,1,2,1,1,0,0,0,0,0,2
2650,3,1,2,1,0,1,0,0,1,0,0
2835,2,1,1,1,0,0,0,0,0,0,2
6420,3,1,3,1,0,1,0,0,0,1,0
4750,2,1,1,1,0,0,0,0,0,0,0
3600,2,1,1,1,0,0,0,0,0,0,1
4800,3,1,3,1,0,0,0,1,0,0,0
3180,2,1,1,1,0,0,0,0,0,0,0
6000,4,2,4,1,0,0,0,1,1,0,1
6540,4,2,2,0,0,0,0,1,0,0,2
8880,3,2,2,1,0,1,0,1,1,0,1
4360,4,1,2,1,0,0,0,0,0,0,1
8250,3,2,3,1,0,0,0,1,0,0,1
3640,3,1,2,1,0,0,0,1,0,0,1
11410,2,1,2,1,0,0,0,0,0,1,1
5880,3,1,1,1,0,0,0,0,1,0,0
3150,3,2,1,1,1,1,0,1,0,0,1
6550,4,2,2,1,0,0,0,1,1,1,2
7000,3,2,4,1,0,0,0,1,2,0,1
7950,5,2,2,1,0,1,1,0,2,0,0
5500,3,2,1,1,0,1,0,0,0,0,2
10500,4,2,2,1,0,0,0,0,1,0,2
3069,2,1,1,1,0,0,0,0,1,0,0
3850,3,1,1,1,0,0,0,0,2,0,0
3420,4,2,2,1,0,0,0,0,0,0,2
4100,3,2,3,1,0,0,0,1,2,0,2
6325,3,1,4,1,0,0,0,1,1,0,0
3840,3,1,2,1,0,0,0,0,1,1,2
3750,3,1,1,1,0,0,0,0,0,0,0
3600,2,1,1,1,0,0,0,0,0,0,2
6060,3,1,1,1,1,1,0,0,0,0,1
7085,3,1,1,1,1,1,0,0,2,1,2
3120,3,1,2,0,0,0,0,0,0,0,1
6360,3,2,4,1,0,0,0,1,0,1,1
4000,3,1,2,1,0,0,0,0,1,0,0
4370,3,1,2,1,0,0,0,0,0,0,0
5800,2,1,1,1,1,1,0,1,0,0,2
3990,3,1,2,1,0,0,0,0,0,0,2
2175,3,1,2,0,1,1,0,1,0,0,0
3480,2,1,1,1,0,0,0,0,0,1,2
5900,2,1,1,1,0,0,0,0,1,0,1
4510,4,1,2,1,0,0,0,1,2,0,2
4600,2,1,1,1,0,0,0,0,0,0,1
7420,4,1,2,1,1,1,0,1,2,0,1
4000,3,1,2,1,0,0,0,0,2,0,1
3600,2,2,2,1,0,1,0,0,1,0,1
6600,3,2,1,1,0,1,0,1,0,1,0
5170,3,1,4,1,0,0,0,1,0,0,2
4400,2,1,1,1,0,0,0,0,0,0,0
4995,4,2,1,1,0,1,0,0,0,0,2
3660,4,1,2,0,0,0,0,0,0,0,0
10269,3,1,1,1,0,0,0,0,1,1,2
6600,3,2,3,1,0,0,0,1,0,1,0
2747,4,2,2,0,0,0,0,0,0,0,2
4160,3,1,3,1,0,0,0,0,0,0,0
8880,2,1,1,1,0,0,0,1,1,0,2
5320,2,1,1,1,0,0,0,0,1,1,0
6600,3,1,4,1,0,0,0,1,3,1,1
4880,4,2,2,1,0,0,0,1,1,1,1
4920,3,1,2,1,0,0,0,0,1,0,2
6480,3,1,2,0,0,0,0,1,1,0,2
4520,3,1,2,1,0,1,0,1,0,0,2
2910,2,1,1,0,0,0,0,0,0,0,0
8875,3,1,1,1,0,0,0,0,1,0,2
3300,3,1,2,0,0,0,0,0,1,0,2
5400,2,1,2,1,0,0,0,0,0,1,2
3162,3,1,2,1,0,0,0,1,1,0,1
2275,3,1,3,1,0,0,1,1,0,1,2
5040,3,1,2,1,0,1,0,1,0,0,0
3500,4,1,2,1,0,0,0,1,2,0,0
6600,4,2,2,1,1,1,0,0,0,1,2
